plan,cut_edges,polsby_popper,density_score,pop_dev,contiguous
1,20.0,0.43633231299858244,1.0,0.0,1.0
2,20.0,0.43633231299858244,0.9,0.0,1.0
3,18.0,0.5131268000863329,0.9,0.0,1.0
4,18.0,0.5131268000863329,0.9,0.0,1.0
5,20.0,0.43633231299858244,0.9,0.0,1.0
6,20.0,0.43633231299858244,0.9,0.0,1.0
7,20.0,0.43633231299858244,0.8,0.0,1.0
8,18.0,0.5131268000863329,0.8,0.0,1.0
9,20.0,0.43633231299858244,0.8,0.0,1.0
10,20.0,0.43633231299858244,0.8,0.0,1.0
11,19.0,0.4747295565424577,0.75,0.0,1.0
12,18.0,0.5131268000863329,0.8,0.0,1.0
13,19.0,0.4747295565424576,0.8,0.0,1.0
14,18.0,0.5131268000863328,0.9,0.0,1.0
15,18.0,0.5131268000863328,0.8,0.0,1.0
16,19.0,0.4747295565424576,0.8,0.0,1.0
17,19.0,0.4747295565424577,0.75,0.0,1.0
18,20.0,0.43633231299858244,0.8,0.0,1.0
19,19.0,0.4747295565424577,0.8,0.0,1.0
20,18.0,0.5131268000863329,0.75,0.0,1.0
21,19.0,0.4747295565424576,0.75,0.0,1.0
22,20.0,0.43633231299858244,0.7,0.0,1.0
23,18.0,0.5131268000863328,0.8,0.0,1.0
24,19.0,0.4747295565424576,0.8,0.0,1.0
25,18.0,0.5131268000863328,0.9,0.0,1.0
26,19.0,0.4747295565424576,0.8,0.0,1.0
27,18.0,0.5131268000863328,0.8,0.0,1.0
28,19.0,0.4747295565424576,0.75,0.0,1.0
29,18.0,0.5131268000863328,0.8,0.0,1.0
30,18.0,0.5131268000863328,0.75,0.0,1.0
31,18.0,0.5131268000863328,0.7,0.0,1.0
32,19.0,0.4747295565424576,0.7,0.0,1.0
33,18.0,0.5131268000863328,0.7,0.0,1.0
34,19.0,0.4747295565424576,0.8,0.0,1.0
35,19.0,0.4747295565424577,0.8,0.0,1.0
36,19.0,0.4747295565424576,0.75,0.0,1.0
37,19.0,0.4747295565424577,0.75,0.0,1.0
38,19.0,0.4747295565424576,0.7,0.0,1.0
39,20.0,0.43633231299858244,0.7,0.0,1.0
40,19.0,0.4747295565424576,0.7,0.0,1.0
41,20.0,0.43633231299858244,0.8,0.0,1.0
42,20.0,0.43633231299858244,0.9,0.0,1.0
43,20.0,0.43633231299858244,0.8,0.0,1.0
44,20.0,0.43633231299858244,0.8,0.0,1.0
45,18.0,0.5131268000863328,0.8,0.0,1.0
46,19.0,0.4747295565424576,0.75,0.0,1.0
47,18.0,0.5131268000863328,0.8,0.0,1.0
48,18.0,0.5131268000863328,0.75,0.0,1.0
49,18.0,0.5131268000863328,0.7,0.0,1.0
50,19.0,0.4747295565424576,0.7,0.0,1.0
51,18.0,0.5131268000863328,0.7,0.0,1.0
52,19.0,0.4747295565424576,0.8,0.0,1.0
53,20.0,0.43633231299858244,0.8,0.0,1.0
54,18.0,0.5131268000863329,0.75,0.0,1.0
55,19.0,0.4747295565424577,0.75,0.0,1.0
56,20.0,0.43633231299858244,0.7,0.0,1.0
57,20.0,0.43633231299858244,0.9,0.0,1.0
58,20.0,0.43633231299858244,0.8,0.0,1.0
59,18.0,0.5131268000863329,0.8,0.0,1.0
60,18.0,0.5131268000863329,0.8,0.0,1.0
61,20.0,0.43633231299858244,0.8,0.0,1.0
62,18.0,0.5131268000863329,0.7,0.0,1.0
63,20.0,0.43633231299858244,0.7,0.0,1.0
64,19.0,0.4747295565424577,0.65,0.0,1.0
65,20.0,0.43633231299858244,0.8,0.0,1.0
66,20.0,0.43633231299858244,0.7,0.0,1.0
67,18.0,0.5131268000863329,0.7,0.0,1.0
68,20.0,0.43633231299858244,0.7,0.0,1.0
69,18.0,0.5131268000863328,0.8,0.0,1.0
70,19.0,0.4747295565424576,0.7,0.0,1.0
71,18.0,0.5131268000863328,0.65,0.0,1.0
72,19.0,0.4747295565424577,0.7,0.0,1.0
73,19.0,0.4747295565424576,0.65,0.0,1.0
74,19.0,0.4747295565424577,0.7,0.0,1.0
75,19.0,0.4747295565424576,0.65,0.0,1.0
76,18.0,0.5131268000863329,0.6,0.0,1.0
77,20.0,0.43633231299858244,0.8,0.0,1.0
78,20.0,0.43633231299858244,0.7,0.0,1.0
79,19.0,0.4747295565424577,0.7,0.0,1.0
80,19.0,0.4747295565424577,0.6,0.0,1.0
81,20.0,0.43633231299858244,0.7,0.0,1.0
82,20.0,0.43633231299858244,0.6,0.0,1.0
83,18.0,0.5131268000863329,0.7,0.0,1.0
84,20.0,0.43633231299858244,0.6,0.0,1.0
85,18.0,0.5131268000863329,0.6,0.0,1.0
86,18.0,0.5131268000863329,0.7,0.0,1.0
87,20.0,0.43633231299858244,0.7,0.0,1.0
88,19.0,0.4747295565424577,0.65,0.0,1.0
89,20.0,0.43633231299858244,0.8,0.0,1.0
90,20.0,0.43633231299858244,0.7,0.0,1.0
91,18.0,0.5131268000863329,0.7,0.0,1.0
92,20.0,0.43633231299858244,0.7,0.0,1.0
93,19.0,0.4747295565424576,0.75,0.0,1.0
94,18.0,0.5131268000863328,0.65,0.0,1.0
95,20.0,0.43633231299858244,0.65,0.0,1.0
96,18.0,0.5131268000863329,0.6,0.0,1.0
97,20.0,0.43633231299858244,0.6,0.0,1.0
98,19.0,0.4747295565424577,0.6,0.0,1.0
99,18.0,0.5131268000863329,0.6,0.0,1.0
100,19.0,0.4747295565424576,0.65,0.0,1.0
101,19.0,0.4747295565424577,0.7,0.0,1.0
102,18.0,0.5131268000863328,0.8,0.0,1.0
103,18.0,0.5131268000863328,0.7,0.0,1.0
104,19.0,0.4747295565424576,0.7,0.0,1.0
105,19.0,0.4747295565424577,0.7,0.0,1.0
106,18.0,0.5131268000863329,0.65,0.0,1.0
107,19.0,0.4747295565424576,0.65,0.0,1.0
108,20.0,0.43633231299858244,0.7,0.0,1.0
109,20.0,0.43633231299858244,0.6,0.0,1.0
110,19.0,0.4747295565424577,0.6,0.0,1.0
111,20.0,0.43633231299858244,0.6,0.0,1.0
112,20.0,0.43633231299858244,0.6,0.0,1.0
113,19.0,0.4747295565424577,0.8,0.0,1.0
114,20.0,0.43633231299858244,0.7,0.0,1.0
115,19.0,0.4747295565424577,0.7,0.0,1.0
116,20.0,0.43633231299858244,0.65,0.0,1.0
117,19.0,0.4747295565424576,0.65,0.0,1.0
118,19.0,0.4747295565424577,0.7,0.0,1.0
119,19.0,0.4747295565424577,0.6,0.0,1.0
120,20.0,0.43633231299858244,0.6,0.0,1.0
121,19.0,0.4747295565424577,0.6,0.0,1.0
122,19.0,0.4747295565424577,0.7,0.0,1.0
123,19.0,0.4747295565424576,0.65,0.0,1.0
124,19.0,0.4747295565424576,0.7,0.0,1.0
125,19.0,0.4747295565424577,0.6,0.0,1.0
126,20.0,0.43633231299858244,0.6,0.0,1.0
127,19.0,0.4747295565424577,0.6,0.0,1.0
128,19.0,0.4747295565424576,0.65,0.0,1.0
129,18.0,0.5131268000863328,0.9,0.0,1.0
130,18.0,0.5131268000863328,0.8,0.0,1.0
131,16.0,0.5899212871740833,0.8,0.0,1.0
132,16.0,0.5899212871740833,0.8,0.0,1.0
133,18.0,0.5131268000863328,0.8,0.0,1.0
134,17.0,0.5515240436302081,0.7,0.0,1.0
135,18.0,0.5131268000863328,0.7,0.0,1.0
136,18.0,0.5131268000863328,0.7,0.0,1.0
137,18.0,0.5131268000863328,0.8,0.0,1.0
138,18.0,0.5131268000863328,0.7,0.0,1.0
139,17.0,0.5515240436302081,0.7,0.0,1.0
140,19.0,0.4747295565424576,0.8,0.0,1.0
141,19.0,0.4747295565424576,0.7,0.0,1.0
142,18.0,0.5131268000863328,0.7,0.0,1.0
143,17.0,0.5515240436302081,0.65,0.0,1.0
144,18.0,0.5131268000863328,0.65,0.0,1.0
145,19.0,0.4747295565424576,0.6,0.0,1.0
146,19.0,0.4747295565424576,0.65,0.0,1.0
147,17.0,0.5515240436302081,0.65,0.0,1.0
148,19.0,0.4747295565424576,0.65,0.0,1.0
149,18.0,0.5131268000863328,0.6,0.0,1.0
150,19.0,0.4747295565424576,0.75,0.0,1.0
151,19.0,0.4747295565424576,0.65,0.0,1.0
152,17.0,0.5515240436302081,0.65,0.0,1.0
153,19.0,0.4747295565424577,0.6,0.0,1.0
154,20.0,0.43633231299858244,0.6,0.0,1.0
155,20.0,0.43633231299858244,0.55,0.0,1.0
156,18.0,0.5131268000863329,0.55,0.0,1.0
157,19.0,0.4747295565424576,0.5,0.0,1.0
158,20.0,0.43633231299858244,0.8,0.0,1.0
159,20.0,0.43633231299858244,0.7,0.0,1.0
160,18.0,0.5131268000863329,0.7,0.0,1.0
161,20.0,0.43633231299858244,0.7,0.0,1.0
162,19.0,0.4747295565424576,0.8,0.0,1.0
163,18.0,0.5131268000863328,0.7,0.0,1.0
164,18.0,0.5131268000863328,0.7,0.0,1.0
165,19.0,0.4747295565424576,0.6,0.0,1.0
166,20.0,0.43633231299858244,0.6,0.0,1.0
167,19.0,0.4747295565424576,0.6,0.0,1.0
168,18.0,0.5131268000863328,0.75,0.0,1.0
169,18.0,0.5131268000863328,0.65,0.0,1.0
170,19.0,0.4747295565424576,0.6,0.0,1.0
171,20.0,0.43633231299858244,0.6,0.0,1.0
172,19.0,0.4747295565424577,0.75,0.0,1.0
173,19.0,0.4747295565424577,0.65,0.0,1.0
174,20.0,0.43633231299858244,0.6,0.0,1.0
175,19.0,0.4747295565424577,0.65,0.0,1.0
176,19.0,0.4747295565424576,0.6,0.0,1.0
177,19.0,0.4747295565424576,0.55,0.0,1.0
178,20.0,0.43633231299858244,0.55,0.0,1.0
179,19.0,0.4747295565424576,0.55,0.0,1.0
180,20.0,0.43633231299858244,0.7,0.0,1.0
181,20.0,0.43633231299858244,0.6,0.0,1.0
182,20.0,0.43633231299858244,0.6,0.0,1.0
183,20.0,0.43633231299858244,0.6,0.0,1.0
184,19.0,0.4747295565424576,0.6,0.0,1.0
185,19.0,0.4747295565424576,0.55,0.0,1.0
186,20.0,0.43633231299858244,0.5,0.0,1.0
187,18.0,0.5131268000863328,0.7,0.0,1.0
188,17.0,0.5515240436302081,0.65,0.0,1.0
189,18.0,0.5131268000863328,0.8,0.0,1.0
190,18.0,0.5131268000863328,0.7,0.0,1.0
191,16.0,0.5899212871740833,0.7,0.0,1.0
192,18.0,0.5131268000863328,0.7,0.0,1.0
193,18.0,0.5131268000863328,0.65,0.0,1.0
194,19.0,0.4747295565424576,0.6,0.0,1.0
195,17.0,0.5515240436302081,0.6,0.0,1.0
196,19.0,0.4747295565424576,0.6,0.0,1.0
197,19.0,0.4747295565424576,0.6,0.0,1.0
198,18.0,0.5131268000863328,0.55,0.0,1.0
199,18.0,0.5131268000863328,0.7,0.0,1.0
200,19.0,0.4747295565424576,0.6,0.0,1.0
201,19.0,0.4747295565424576,0.6,0.0,1.0
202,19.0,0.4747295565424576,0.55,0.0,1.0
203,19.0,0.4747295565424576,0.55,0.0,1.0
204,19.0,0.4747295565424577,0.8,0.0,1.0
205,19.0,0.4747295565424577,0.7,0.0,1.0
206,20.0,0.43633231299858244,0.7,0.0,1.0
207,19.0,0.4747295565424577,0.7,0.0,1.0
208,18.0,0.5131268000863329,0.65,0.0,1.0
209,19.0,0.4747295565424576,0.65,0.0,1.0
210,20.0,0.43633231299858244,0.7,0.0,1.0
211,20.0,0.43633231299858244,0.6,0.0,1.0
212,18.0,0.5131268000863328,0.65,0.0,1.0
213,18.0,0.5131268000863328,0.65,0.0,1.0
214,19.0,0.4747295565424577,0.55,0.0,1.0
215,18.0,0.5131268000863328,0.9,0.0,1.0
216,18.0,0.5131268000863328,0.8,0.0,1.0
217,16.0,0.5899212871740833,0.8,0.0,1.0
218,16.0,0.5899212871740833,0.8,0.0,1.0
219,18.0,0.5131268000863328,0.8,0.0,1.0
220,18.0,0.5131268000863328,0.7,0.0,1.0
221,19.0,0.4747295565424576,0.8,0.0,1.0
222,18.0,0.5131268000863328,0.7,0.0,1.0
223,18.0,0.5131268000863328,0.7,0.0,1.0
224,18.0,0.5131268000863328,0.65,0.0,1.0
225,18.0,0.5131268000863328,0.8,0.0,1.0
226,18.0,0.5131268000863328,0.7,0.0,1.0
227,16.0,0.5899212871740833,0.7,0.0,1.0
228,18.0,0.5131268000863328,0.7,0.0,1.0
229,19.0,0.4747295565424576,0.75,0.0,1.0
230,19.0,0.4747295565424576,0.65,0.0,1.0
231,17.0,0.5515240436302081,0.65,0.0,1.0
232,18.0,0.5131268000863328,0.65,0.0,1.0
233,18.0,0.5131268000863328,0.8,0.0,1.0
