plan,cut_edges,polsby_popper,density_score,pop_dev,contiguous
1,20.0,0.43633231299858244,0.4,0.0,1.0
2,17.0,0.5515240436302081,0.45,0.0,1.0
3,20.0,0.43633231299858244,0.6,0.0,1.0
4,18.0,0.5131268000863328,0.6,0.0,1.0
5,19.0,0.4747295565424576,0.6,0.0,1.0
6,19.0,0.4747295565424576,0.55,0.0,1.0
7,18.0,0.5131268000863328,0.7,0.0,1.0
8,20.0,0.43633231299858244,0.5,0.0,1.0
9,19.0,0.4747295565424577,0.35,0.0,1.0
10,19.0,0.4747295565424576,0.4,0.0,1.0
11,19.0,0.4747295565424576,0.6,0.0,1.0
12,20.0,0.43633231299858244,0.7,0.0,1.0
13,19.0,0.4747295565424577,0.55,0.0,1.0
14,18.0,0.5131268000863328,0.55,0.0,1.0
15,18.0,0.5131268000863328,0.4,0.0,1.0
16,17.0,0.5515240436302081,0.55,0.0,1.0
17,18.0,0.5131268000863328,0.5,0.0,1.0
18,19.0,0.4747295565424576,0.65,0.0,1.0
19,18.0,0.5131268000863328,0.45,0.0,1.0
20,19.0,0.4747295565424576,0.45,0.0,1.0
21,19.0,0.4747295565424576,0.7,0.0,1.0
22,20.0,0.43633231299858244,0.55,0.0,1.0
23,20.0,0.43633231299858244,0.45,0.0,1.0
24,19.0,0.4747295565424576,0.25,0.0,1.0
25,19.0,0.4747295565424576,0.5,0.0,1.0
26,18.0,0.5131268000863328,0.4,0.0,1.0
27,19.0,0.4747295565424576,0.45,0.0,1.0
28,19.0,0.4747295565424576,0.5,0.0,1.0
29,19.0,0.4747295565424576,0.75,0.0,1.0
30,20.0,0.43633231299858244,0.6,0.0,1.0
31,20.0,0.43633231299858244,0.5,0.0,1.0
32,18.0,0.5131268000863328,0.7,0.0,1.0
33,19.0,0.4747295565424577,0.7,0.0,1.0
34,18.0,0.5131268000863328,0.8,0.0,1.0
35,18.0,0.5131268000863329,0.6,0.0,1.0
36,17.0,0.5515240436302081,0.5,0.0,1.0
